epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,54.2132,1.85755,3.59608,1.21872,0.03118,0.37895,0.1543,0.07887,1.46798,3.75841,1.04559,0.00019992,0.00019992,0.00019992
2,106.338,1.55907,1.99705,1.09934,0.9162,0.0909,0.32079,0.19192,1.40747,2.98538,1.02368,0.000400088,0.000400088,0.000400088
3,157.388,1.46375,1.49319,1.06908,0.75092,0.31162,0.38173,0.23036,1.3802,2.19077,1.0658,0.00059201,0.00059201,0.00059201
4,209.524,1.45201,1.32082,1.05513,0.62422,0.43336,0.42541,0.25497,1.41518,1.55023,1.0344,0.000775685,0.000775685,0.000775685
5,262.189,1.41964,1.2751,1.03586,0.6331,0.43167,0.41556,0.25137,1.3586,1.47759,1.03125,0.000767026,0.000767026,0.000767026
6,315.253,1.34289,1.16773,1.02035,0.68741,0.439,0.45657,0.29638,1.29763,1.17697,1.01587,0.000750533,0.000750533,0.000750533
7,368.749,1.28899,1.13844,1.00346,0.82677,0.46089,0.48183,0.30332,1.28113,1.16016,1.00323,0.00073404,0.00073404,0.00073404
8,425.288,1.29576,1.12539,1.00828,0.83757,0.45378,0.50045,0.31196,1.32697,1.14172,0.99811,0.000717546,0.000717546,0.000717546
9,481.953,1.30735,1.11277,1.01092,0.69397,0.44884,0.49265,0.31727,1.26663,1.12367,0.97771,0.000701053,0.000701053,0.000701053
10,536.886,1.22759,1.04418,0.99002,0.7281,0.48448,0.49542,0.32516,1.20531,1.03217,0.96589,0.000684559,0.000684559,0.000684559
11,591.773,1.20303,1.00821,0.97267,0.71964,0.50001,0.52446,0.34104,1.20388,1.0038,0.95964,0.000668066,0.000668066,0.000668066
12,646.607,1.19933,0.97435,0.974,0.75189,0.51629,0.55256,0.36425,1.17383,0.99862,0.95935,0.000651573,0.000651573,0.000651573
13,700.583,1.22131,0.98744,0.97248,0.71387,0.50585,0.53997,0.32884,1.2891,1.11751,0.99053,0.000635079,0.000635079,0.000635079
14,754.704,1.22579,0.96134,0.96868,0.78037,0.5434,0.61062,0.38969,1.16417,1.01248,0.95646,0.000618586,0.000618586,0.000618586
15,809.272,1.15466,0.93352,0.96222,0.81701,0.5095,0.63946,0.41222,1.14152,0.92044,0.95105,0.000602092,0.000602092,0.000602092
16,864.062,1.15567,0.93135,0.95251,0.60051,0.61,0.66223,0.41825,1.18396,0.93215,0.94345,0.000585599,0.000585599,0.000585599
17,917.955,1.13206,0.93808,0.95113,0.65053,0.66721,0.70374,0.45348,1.12375,0.89875,0.93624,0.000569106,0.000569106,0.000569106
18,973.64,1.1182,0.88455,0.94493,0.84801,0.5782,0.69504,0.4359,1.15506,0.90171,0.94897,0.000552612,0.000552612,0.000552612
19,1027.64,1.11841,0.89114,0.94618,0.7747,0.66587,0.71123,0.45012,1.11272,0.88218,0.9297,0.000536119,0.000536119,0.000536119
20,1083.6,1.09647,0.84805,0.93269,0.7717,0.689,0.73618,0.45818,1.15607,0.91811,0.94147,0.000519625,0.000519625,0.000519625
21,1137.81,1.10645,0.84418,0.93826,0.78133,0.69564,0.75369,0.48763,1.10489,0.87521,0.92476,0.000503132,0.000503132,0.000503132
22,1190.95,1.09827,0.85148,0.93959,0.7815,0.70924,0.75942,0.48791,1.10411,0.86997,0.92711,0.000486639,0.000486639,0.000486639
23,1244.71,1.0899,0.82702,0.93695,0.81654,0.71582,0.76335,0.48482,1.10534,0.87523,0.93412,0.000470145,0.000470145,0.000470145
24,1300.02,1.09928,0.8276,0.93598,0.8112,0.72416,0.77319,0.49284,1.09849,0.85819,0.9267,0.000453652,0.000453652,0.000453652
25,1352.84,1.09063,0.80689,0.93496,0.82956,0.68817,0.76182,0.50257,1.09638,0.84142,0.92378,0.000437158,0.000437158,0.000437158
26,1404.96,1.06239,0.79307,0.92274,0.81438,0.72783,0.75651,0.49949,1.08438,0.82102,0.92166,0.000420665,0.000420665,0.000420665
27,1456.26,1.06563,0.78736,0.93004,0.83858,0.70351,0.77605,0.51992,1.06274,0.82257,0.92217,0.000404172,0.000404172,0.000404172
28,1508.97,1.04136,0.7721,0.91667,0.82393,0.7487,0.77217,0.49906,1.06265,0.78956,0.91833,0.000387678,0.000387678,0.000387678
29,1561.2,1.04129,0.77992,0.9262,0.8187,0.7335,0.76176,0.50769,1.05022,0.78898,0.91841,0.000371185,0.000371185,0.000371185
30,1616.15,1.0327,0.7628,0.91996,0.82878,0.72206,0.77582,0.51951,1.03339,0.78852,0.91064,0.000354691,0.000354691,0.000354691
31,1668.61,1.02778,0.76127,0.91954,0.85891,0.72693,0.7726,0.51804,1.06766,0.80076,0.92399,0.000338198,0.000338198,0.000338198
32,1719.29,1.02113,0.73311,0.91313,0.82264,0.72755,0.77426,0.52276,1.03557,0.7731,0.91508,0.000321705,0.000321705,0.000321705
33,1770.24,1.0122,0.731,0.9113,0.82575,0.75484,0.78531,0.53362,1.04768,0.77563,0.91495,0.000305211,0.000305211,0.000305211
34,1821.75,1.01383,0.74213,0.91459,0.85915,0.7552,0.79614,0.53678,1.05479,0.76891,0.91011,0.000288718,0.000288718,0.000288718
35,1874.39,1.01926,0.73576,0.91694,0.85746,0.74641,0.77881,0.52196,1.04689,0.77844,0.91295,0.000272224,0.000272224,0.000272224
36,1926.62,1.02302,0.7087,0.91442,0.87447,0.72892,0.787,0.51862,1.0417,0.77652,0.91596,0.000255731,0.000255731,0.000255731
37,1979.5,1.00642,0.71906,0.90765,0.84204,0.75469,0.78823,0.53975,1.03879,0.76123,0.90719,0.000239238,0.000239238,0.000239238
38,2031.48,0.99701,0.70354,0.90795,0.839,0.74589,0.78045,0.54686,1.0016,0.76629,0.90084,0.000222744,0.000222744,0.000222744
39,2082.09,0.99781,0.70327,0.91204,0.81273,0.7441,0.77732,0.52553,1.07342,0.77972,0.91355,0.000206251,0.000206251,0.000206251
40,2133.5,1.01326,0.71187,0.91209,0.84969,0.7297,0.77892,0.53437,1.0479,0.77995,0.9192,0.000189757,0.000189757,0.000189757
41,2182.81,1.04125,0.81098,0.9245,0.82684,0.74556,0.7732,0.52374,1.0489,0.81831,0.91403,0.000173264,0.000173264,0.000173264
42,2231.29,0.97614,0.72482,0.91122,0.82641,0.74661,0.77194,0.53586,1.00852,0.76845,0.91042,0.000156771,0.000156771,0.000156771
43,2280.93,0.95198,0.69233,0.90736,0.85075,0.73718,0.77986,0.53305,1.0369,0.77747,0.91314,0.000140277,0.000140277,0.000140277
44,2330.74,0.9323,0.68299,0.89963,0.83672,0.75504,0.78498,0.53251,1.01277,0.77277,0.90806,0.000123784,0.000123784,0.000123784
45,2379.92,0.9487,0.67916,0.90082,0.86482,0.73136,0.77892,0.52737,1.01378,0.76011,0.90604,0.00010729,0.00010729,0.00010729
